Mnemonic,Description,,"Std Chg","CPT or HCPC ","Rev Code","Inpt or Outpt","Aetna Commercial","AllWays Commercial","AllWays MassHealth","Beacon Commercial","Beacon Medicaid","Beacon Medicare","BCBSMA HMO Commercial","BCBSMA IND Commercial","BCBSMA PPO Commercial",BMCHNP,"CDPHP Commercial","CIGNA Commercial","Connecticare Commercial","FALLON Commercial","Fallon MCRHMO","Fallon Navicare","First Health Coventry",HPHC,HNE,"HNE MCRHMO",Multiplan,MVP,"Self Pay","Tufts Public Plan Masshealth & QHP Subsidized","Tufts Public Plan QHP Non Subsidized",Tufts,Unicare,United,"United Optum BH Commercial","United Optum BH Medicaid",Min,Max
10021E0000,"FNA w/o Img Guidnce; 1st Les",Facility,201.19,10021,0450,OP,178.85791,176.021131,74.4403,N/A,N/A,N/A,118.54114799999999,127.35327,124.81827599999998,512.6809551568897,181.071,181.071,191.13049999999998,187.10670000000002,393.2184010937364,449.3924583928416,187.10670000000002,191.13049999999998,152.461782,430.6677726264732,181.071,181.071,191.13049999999998,122.92708999999999,140.63181,171.01149999999998,118.70209999999999,181.071,N/A,N/A,74.4403,512.6809551568897
10021E0000,"FNA w/o Img Guidnce; 1st Les",Facility,209.22,10021,0450,IP,185.99658,183.046578,100.42559999999999,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,188.298,188.298,198.759,194.5746,Grouper,Grouper,198.759,198.759,Grouper,Grouper,188.298,188.298,198.759,127.83341999999999,146.24478,177.837,Grouper,188.298,N/A,N/A,100.42559999999999,198.759
10061E0000,"I&D Abscess; Cmplictd/Mltiple",Facility,239.32,10061,0450,OP,212.75548,209.381068,88.5484,N/A,N/A,N/A,141.007344,151.48956,148.47412799999998,263.28720438782165,215.388,215.388,227.35399999999998,222.5676,393.2184010937364,449.3924583928416,222.5676,227.35399999999998,181.356696,430.6677726264732,215.388,215.388,227.35399999999998,146.22451999999998,167.28467999999998,203.422,141.19879999999998,215.388,N/A,N/A,88.5484,449.3924583928416
10061E0000,"I&D Abscess; Cmplictd/Mltiple",Facility,248.88,10061,0450,IP,221.25432,217.745112,119.46239999999999,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,223.992,223.992,236.43599999999998,231.4584,Grouper,Grouper,236.43599999999998,236.43599999999998,Grouper,Grouper,223.992,223.992,236.43599999999998,152.06568,173.96712,211.548,Grouper,223.992,N/A,N/A,119.46239999999999,236.43599999999998
10080E0000,"I&D Pilonidal Cyst; Simple",Facility,338.25,10080,0450,OP,300.70425,295.934925,125.1525,N/A,N/A,N/A,199.2969,214.11225,209.85029999999998,263.28720438782165,304.425,304.425,321.3375,314.5725,750.7312549063237,857.9785770357984,314.5725,321.3375,256.32585,822.2294696593067,304.425,304.425,321.3375,206.67075,236.43675,287.5125,199.5675,304.425,N/A,N/A,125.1525,857.9785770357984
10080E0000,"I&D Pilonidal Cyst; Simple",Facility,351.79,10080,0450,IP,312.74131,307.781071,168.85920000000002,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,316.61100000000005,316.61100000000005,334.2005,327.16470000000004,Grouper,Grouper,334.2005,334.2005,Grouper,Grouper,316.61100000000005,316.61100000000005,334.2005,214.94369,245.90121,299.0215,Grouper,316.61100000000005,N/A,N/A,168.85920000000002,334.2005
10081E0000,"I&D Pilonidal Cyst; Cmplctd",Facility,1924.84,10081,0450,OP,1711.18276,1684.042516,712.1908,N/A,N/A,N/A,1134.1157279999998,1218.42372,1194.1707359999998,1047.704085727721,1732.356,1732.356,1828.5979999999997,1790.1012,750.7312549063237,857.9785770357984,1790.1012,1828.5979999999997,1458.643752,822.2294696593067,1732.356,1732.356,1828.5979999999997,1176.0772399999998,1345.4631599999998,1636.1139999999998,1135.6555999999998,1732.356,N/A,N/A,712.1908,1828.5979999999997
10081E0000,"I&D Pilonidal Cyst; Cmplctd",Facility,2001.83,10081,0450,IP,1779.62687,1751.401067,960.8783999999999,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,1801.647,1801.647,1901.7385,1861.7019,Grouper,Grouper,1901.7385,1901.7385,Grouper,Grouper,1801.647,1801.647,1901.7385,1223.1181299999998,1399.2791699999998,1701.5555,Grouper,1801.647,N/A,N/A,960.8783999999999,1901.7385
10120E0000,"I&R FB Subq; Simple",Facility,338.25,10120,0450,OP,300.70425,295.934925,125.1525,N/A,N/A,N/A,199.2969,214.11225,209.85029999999998,263.28720438782165,304.425,304.425,321.3375,314.5725,393.2184010937364,449.3924583928416,314.5725,321.3375,256.32585,430.6677726264732,304.425,304.425,321.3375,206.67075,236.43675,287.5125,199.5675,304.425,N/A,N/A,125.1525,449.3924583928416
10120E0000,"I&R FB Subq; Simple",Facility,351.79,10120,0450,IP,312.74131,307.781071,168.85920000000002,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,316.61100000000005,316.61100000000005,334.2005,327.16470000000004,Grouper,Grouper,334.2005,334.2005,Grouper,Grouper,316.61100000000005,316.61100000000005,334.2005,214.94369,245.90121,299.0215,Grouper,316.61100000000005,N/A,N/A,168.85920000000002,334.2005
